/playlist?id=2926881839,『韩语』咖啡馆有童话，是我和你编织的梦,39466,长歌style
/playlist?id=979519558,你向我缓缓走来 带着害羞的香气,36万,鹿九月
/playlist?id=966027244,欧美小调｜用树隙里的阳光做一罐好心情,214万,咬口奶油
/playlist?id=944979866,日语民谣 | 温润清新 放松心情,29万,后原
/playlist?id=10908664,医生推荐的催眠音乐,95万,外向孤独症患者-7
/playlist?id=2703033645,『1w+热评』欧美万评撩耳男声（单曲循环）,3324万,冷森Listen
/playlist?id=118587270,航拍延时摄影背景音乐合集①,127万,酱U_U游
/playlist?id=704712255,⛱[纯音乐]安静又不失节奏,353万,kelvindmj
/playlist?id=2487120533,Kawaii Bass • 软萌味的萝莉电音⚡,144万,ACG二次元菌
/playlist?id=2058358923,心灵Spa | 置身森林与大海之间,73万,慢悠悠的绿
/playlist?id=2778782119,夏季纯音|竹深树密虫鸣处，时有微凉不是风,197万,不曾闻风起
/playlist?id=171664498,【自然纪】睡眠专用背景音乐SLEEP,4729万,仝兀谙亓
/playlist?id=2691183851,纯音 聆听夏季的蝉鸣和风雨,27万,凉城里外
/playlist?id=2420545066,『纯音乐』当雨滴敲响琴键,90万,HUMAN00
/playlist?id=450916650,欧美｜感受异国民谣带来的温柔,312万,肆貮
/playlist?id=2300271910,七月特饮 | 为你调兑一杯限量的Pink Soda,93万,我像只鱼儿在喝你的汤
/playlist?id=2265325264,Strange Fruits | 爽耳水果味儿清新电音,90万,冰糖炖雪梨Er
/playlist?id=554846241,「慵懒吟唱」柔美又脆弱的疏离,344万,JonathanHyden
/playlist?id=2786803341,单车·衣摆·夏凉风,75万,欢酹
/playlist?id=2397111137,国人纯音•清新旋律 一秒爱上,73万,浮春梦雪
/playlist?id=2320041657,Kawaii Bass丨汽水糖果柠檬软萌萝莉⚡️,406万,音凛酱
/playlist?id=2647732817,每一首宝藏歌曲的背后，都藏着一个宝藏女孩,164万,原点FM
/playlist?id=2200715799,节奏控福利！那些好听的欧美小众歌曲✨,206万,BAEK-J
